City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Victoria,HK,2021-12-04 19:51:17,22.2855,114.1577,65.32,68,98,1.99
67,Ribeira Grande,PT,2021-12-04 19:56:12,38.5167,-28.7,63.0,88,75,3.44
68,Egvekinot,RU,2021-12-04 19:56:12,66.3167,-179.1667,-26.57,95,34,5.82
69,Marabba,SD,2021-12-04 19:56:13,12.35,32.1833,86.47,25,0,8.3
70,Saint George,US,2021-12-04 19:56:13,37.1041,-113.5841,70.27,28,0,1.14
71,Maragogi,BR,2021-12-04 19:56:13,-9.0122,-35.2225,80.15,78,38,8.79
72,Butaritari,KI,2021-12-04 19:55:58,3.0707,172.7902,83.16,76,13,17.78
73,Palm Coast,US,2021-12-04 19:52:07,29.585,-81.2078,76.08,50,95,1.99
74,Bandarban,BD,2021-12-04 19:56:13,22.1965,92.2262,70.38,82,100,2.55
75,Severo-Kurilsk,RU,2021-12-04 19:56:14,50.6789,156.125,31.37,75,76,27.6
76,Likasi,CD,2021-12-04 19:56:14,-10.9814,26.7333,68.11,61,4,4.52
77,East London,ZA,2021-12-04 19:56:14,-33.0153,27.9116,68.34,93,100,18.28
78,Vardo,NO,2021-12-04 19:55:32,70.3705,31.1107,21.45,74,9,19.98
79,Smithers,CA,2021-12-04 19:54:33,54.7804,-127.1743,25.12,93,75,0.0
80,Launceston,AU,2021-12-04 19:56:15,-41.45,147.1667,49.8,79,75,4.61
81,Divo,CI,2021-12-04 19:56:15,5.8397,-5.36,76.1,87,50,4.18
82,Mitu,CO,2021-12-04 19:56:15,1.1983,-70.1733,72.91,99,100,1.61
83,Vaini,TO,2021-12-04 19:56:15,-21.2,-175.2,80.76,94,40,9.22
84,Long,TH,2021-12-04 19:56:16,18.0761,99.8326,58.86,89,8,2.64
85,Kardamaina,GR,2021-12-04 19:56:16,36.7814,27.1425,62.08,82,75,9.22
86,Kruisfontein,ZA,2021-12-04 19:56:16,-34.0033,24.7314,59.88,95,100,18.19
87,Deputatskiy,RU,2021-12-04 19:56:17,69.3,139.9,-39.87,96,35,1.9
88,Hithadhoo,MV,2021-12-04 19:56:17,-0.6,73.0833,81.19,79,69,11.83
89,Kpandae,GH,2021-12-04 19:56:17,8.4689,-0.0113,85.55,22,72,4.36
90,Georgetown,MY,2021-12-04 19:56:18,5.4112,100.3354,79.9,84,20,5.01
91,Yanam,IN,2021-12-04 19:56:18,16.7333,82.2167,75.6,82,93,3.38
92,Pustoshka,RU,2021-12-04 19:57:18,56.3355,29.369,25.38,97,99,2.73
93,Hoquiam,US,2021-12-04 19:57:18,46.9809,-123.8893,51.03,92,90,10.36
94,Davenda,RU,2021-12-04 19:57:19,53.5556,119.317,11.62,92,100,3.15
95,Sawakin,SD,2021-12-04 19:57:19,19.1059,37.3321,81.1,67,3,6.87
96,San Quintin,MX,2021-12-04 19:57:19,30.4833,-115.95,64.94,72,2,15.79
97,Ahuimanu,US,2021-12-04 19:53:48,21.4447,-157.8378,70.45,72,100,5.88
98,Upernavik,GL,2021-12-04 19:57:20,72.7868,-56.1549,16.75,76,100,7.7
99,Gornyak,RU,2021-12-04 19:57:20,50.9942,81.4661,17.82,98,77,4.99
100,Port Blair,IN,2021-12-04 19:57:20,11.6667,92.75,79.12,79,50,9.51
101,Clyde River,CA,2021-12-04 19:57:20,70.4692,-68.5914,10.63,92,100,34.52
102,Flin Flon,CA,2021-12-04 19:52:51,54.7682,-101.865,4.84,72,40,8.05
103,Almaznyy,RU,2021-12-04 19:57:21,48.0448,40.045,35.74,97,100,13.35
104,Elko,US,2021-12-04 19:57:21,41.0002,-115.5012,53.06,28,5,8.93
105,Itarema,BR,2021-12-04 19:57:21,-2.9248,-39.9167,82.99,70,76,15.66
106,North Bend,US,2021-12-04 19:57:22,43.4065,-124.2243,52.25,100,100,12.86
107,Te Anau,NZ,2021-12-04 19:57:22,-45.4167,167.7167,57.13,94,92,3.91
108,Kutum,SD,2021-12-04 19:57:22,14.2,24.6667,71.11,23,0,7.83
109,Ancud,CL,2021-12-04 19:57:22,-41.8697,-73.8203,63.93,59,0,5.44
110,Upington,ZA,2021-12-04 19:57:23,-28.4478,21.2561,70.18,28,20,8.05
111,Geraldton,AU,2021-12-04 19:57:23,-28.7667,114.6,63.01,77,0,8.05
112,Bengkulu,ID,2021-12-04 19:57:23,-3.8004,102.2655,75.72,90,100,9.19
113,Karratha,AU,2021-12-04 19:57:24,-20.7377,116.8463,86.0,30,8,13.8
114,Berbera,SO,2021-12-04 19:57:24,10.4396,45.0143,76.62,68,0,4.94
115,Inyonga,TZ,2021-12-04 19:57:24,-6.7167,32.0667,73.15,51,99,2.39
116,Vanavara,RU,2021-12-04 19:57:24,60.34,102.2797,18.32,91,100,14.2
117,Mar Del Plata,AR,2021-12-04 19:56:49,-38.0023,-57.5575,60.82,77,0,11.99
